order_id,customer_id,product_id,order_date,quantity,discount
1,364,109,2023-10-27,5,0.0
2,1316,16,2024-08-11,2,0.2
3,1413,193,2024-10-10,1,0.0
4,753,51,2024-09-09,5,0.0
5,1023,32,2024-08-29,5,0.05
6,1495,115,2023-05-15,1,0.0
7,1555,126,2024-08-02,3,0.1
8,426,181,2023-05-27,1,0.1
9,1902,131,2024-05-04,4,0.05
10,399,115,2024-04-22,1,0.2
11,954,141,2023-06-08,4,0.15
12,1806,92,2024-01-19,5,0.05
13,304,58,2023-06-12,1,0.15
14,840,45,2024-03-16,2,0.15
15,1737,24,2023-07-08,1,0.0
16,104,179,2024-02-19,3,0.2
17,1355,13,2023-12-05,1,0.05
18,364,152,2024-08-29,1,0.0
19,1390,5,2023-06-30,5,0.0
20,1106,81,2023-10-15,3,0.0
21,1855,178,2023-07-06,1,0.0
22,567,119,2023-05-18,2,0.0
23,800,177,2023-05-10,5,0.0
24,1772,146,2023-07-13,4,0.05
25,676,33,2023-11-12,3,0.0
26,1901,186,2023-05-24,3,0.15
27,1109,159,2023-01-16,5,0.0
28,1243,162,2023-10-29,4,0.0
29,368,94,2024-02-27,5,0.0
30,1898,96,2023-09-02,3,0.1
31,725,31,2023-04-17,5,0.0
32,715,99,2023-03-29,5,0.1
33,825,79,2023-05-09,5,0.05
34,1836,27,2023-12-07,3,0.1
35,1266,187,2023-01-04,1,0.0
36,1186,27,2023-11-23,4,0.2
37,1203,119,2024-02-14,3,0.0
38,1989,129,2023-11-02,1,0.0
39,92,76,2024-08-29,4,0.0
40,1524,196,2024-12-21,5,0.1
41,1674,151,2023-08-13,1,0.2
42,1530,98,2023-12-14,2,0.0
43,624,52,2023-11-17,4,0.1
44,1932,185,2024-07-12,1,0.2
45,169,87,2023-06-30,4,0.2
46,387,179,2024-09-09,5,0.2
47,1345,123,2024-12-11,2,0.0
48,101,191,2024-01-21,1,0.0
49,1320,77,2024-09-09,3,0.0
50,1009,28,2023-04-18,4,0.0
51,193,24,2024-06-14,1,0.0
52,1485,22,2024-02-14,5,0.05
53,870,168,2023-10-23,4,0.05
54,719,136,2023-06-20,1,0.1
55,1991,96,2023-11-27,5,0.1
56,1310,12,2024-05-07,4,0.05
57,1240,177,2023-07-14,5,0.15
58,1480,104,2023-01-12,1,0.05
59,963,149,2023-07-14,1,0.15
60,975,128,2024-05-04,3,0.05
61,228,67,2023-07-01,5,0.0
62,361,167,2024-10-17,4,0.0
63,43,109,2023-11-12,4,0.15
64,181,62,2024-11-24,3,0.0
65,511,82,2023-01-30,2,0.2
66,462,58,2024-08-18,3,0.1
67,1883,190,2024-11-08,4,0.2
68,286,198,2023-04-06,5,0.2
69,1321,164,2024-01-16,3,0.15
70,1580,173,2024-03-19,5,0.05
71,1061,128,2023-10-25,2,0.2
72,1909,79,2023-12-27,4,0.15
73,1785,15,2024-01-09,2,0.0
74,1926,62,2024-07-07,5,0.15
75,1107,166,2023-10-30,2,0.05
76,1916,64,2024-02-25,1,0.0
77,933,108,2023-09-03,5,0.05
78,257,125,2024-12-20,3,0.05
79,1241,116,2023-08-25,5,0.0
80,522,88,2024-06-17,3,0.05
81,750,199,2023-07-04,2,0.15
82,1050,137,2024-04-12,4,0.15
83,1275,199,2023-12-29,1,0.0
84,1239,153,2023-10-10,2,0.2
85,657,78,2024-07-06,5,0.0
86,320,193,2023-12-02,4,0.1
87,734,148,2023-06-11,3,0.0
88,411,28,2023-06-09,5,0.05
89,459,49,2024-04-18,2,0.05
90,1348,34,2024-08-23,2,0.2
91,1554,20,2023-11-18,4,0.15
92,339,107,2023-01-12,5,0.15
93,228,102,2024-02-28,5,0.0
94,1260,22,2023-03-14,3,0.0
95,366,172,2024-08-10,2,0.05
96,434,47,2023-07-20,1,0.15
97,858,25,2024-06-05,2,0.0
98,449,150,2024-05-19,1,0.05
99,507,102,2024-11-18,4,0.2
100,1300,61,2023-02-08,4,0.15
101,1657,180,2023-03-01,2,0.15
102,62,119,2024-07-31,2,0.2
103,1355,148,2023-11-17,1,0.05
104,187,20,2024-03-10,2,0.05
105,1561,105,2024-09-27,4,0.1
106,892,106,2024-11-06,4,0.05
107,1529,102,2024-02-12,3,0.0
108,851,173,2024-01-21,1,0.15
109,608,37,2024-11-01,5,0.15
110,1345,143,2024-07-22,2,0.0
111,1217,76,2023-03-19,4,0.2
112,254,137,2023-07-13,1,0.0
113,579,101,2023-10-12,3,0.0
114,314,172,2024-06-10,1,0.0
115,1006,143,2024-06-07,2,0.0
116,1576,44,2024-09-04,5,0.15
117,1248,120,2023-06-05,1,0.05
118,431,118,2023-12-06,2,0.0
119,1380,86,2023-05-05,3,0.2
120,1451,140,2023-10-07,1,0.2
121,1416,155,2024-09-13,2,0.1
122,222,147,2024-10-19,1,0.05
123,1127,153,2024-12-28,1,0.0
124,318,192,2024-11-04,3,0.0
