product_id,product_name,category,unit_price,unit_cost
1,Apparel_Product_1,Apparel,1086.58,733.54
2,Electronics_Product_2,Electronics,39366.89,31240.06
3,Furniture_Product_3,Furniture,22855.48,16843.31
4,Groceries_Product_4,Groceries,650.05,390.71
5,Furniture_Product_5,Furniture,27208.78,20660.76
6,Furniture_Product_6,Furniture,2237.08,1666.12
7,Apparel_Product_7,Apparel,3588.31,2725.46
8,Groceries_Product_8,Groceries,1443.33,987.21
9,Furniture_Product_9,Furniture,16972.66,9987.1
10,Sports_Product_10,Sports,6753.44,4799.29
11,Furniture_Product_11,Furniture,30011.74,17218.55
12,Apparel_Product_12,Apparel,544.35,303.71
13,Furniture_Product_13,Furniture,4755.77,3337.18
14,Groceries_Product_14,Groceries,407.11,294.21
15,Apparel_Product_15,Apparel,1292.79,989.95
16,Apparel_Product_16,Apparel,3765.9,2341.0
17,Electronics_Product_17,Electronics,59839.8,33361.08
18,Furniture_Product_18,Furniture,28111.65,19699.52
19,Electronics_Product_19,Electronics,28970.55,22071.13
20,Groceries_Product_20,Groceries,553.89,364.93
21,Groceries_Product_21,Groceries,1234.61,942.18
22,Sports_Product_22,Sports,1138.28,735.78
23,Furniture_Product_23,Furniture,17524.4,10374.96
24,Apparel_Product_24,Apparel,2504.8,1545.81
25,Furniture_Product_25,Furniture,4380.62,2889.52
26,Groceries_Product_26,Groceries,1460.96,1080.85
27,Groceries_Product_27,Groceries,453.63,340.03
28,Sports_Product_28,Sports,2243.79,1306.83
29,Groceries_Product_29,Groceries,565.21,406.1
30,Groceries_Product_30,Groceries,355.24,267.23
31,Furniture_Product_31,Furniture,14691.84,11256.37
32,Furniture_Product_32,Furniture,33428.6,24291.52
33,Sports_Product_33,Sports,4088.72,3046.66
34,Apparel_Product_34,Apparel,314.76,186.83
35,Electronics_Product_35,Electronics,27621.3,21988.17
36,Furniture_Product_36,Furniture,33161.68,18711.3
37,Furniture_Product_37,Furniture,19149.61,14003.18
38,Furniture_Product_38,Furniture,27187.67,20234.76
39,Furniture_Product_39,Furniture,13584.21,9298.47
40,Sports_Product_40,Sports,7920.88,6117.93
41,Groceries_Product_41,Groceries,72.94,49.65
42,Sports_Product_42,Sports,6062.31,4080.8
43,Groceries_Product_43,Groceries,1046.21,747.54
44,Electronics_Product_44,Electronics,51868.09,33802.5
45,Groceries_Product_45,Groceries,653.41,443.31
46,Sports_Product_46,Sports,7174.13,5412.62
47,Apparel_Product_47,Apparel,3760.33,2550.35
48,Groceries_Product_48,Groceries,1456.84,1140.82
49,Sports_Product_49,Sports,5462.5,3197.23
50,Groceries_Product_50,Groceries,289.69,221.2
51,Apparel_Product_51,Apparel,1159.34,876.96
52,Sports_Product_52,Sports,4824.61,3327.49
53,Electronics_Product_53,Electronics,47567.3,29168.25
54,Furniture_Product_54,Furniture,15644.54,8944.83
55,Electronics_Product_55,Electronics,44308.9,30719.62
56,Sports_Product_56,Sports,1813.42,1302.38
57,Electronics_Product_57,Electronics,16653.47,11324.67
58,Groceries_Product_58,Groceries,412.02,253.73
59,Sports_Product_59,Sports,5176.08,3623.62
60,Electronics_Product_60,Electronics,38385.08,28311.55
61,Groceries_Product_61,Groceries,714.57,455.76
62,Electronics_Product_62,Electronics,19049.05,11606.04
63,Apparel_Product_63,Apparel,488.28,304.13
64,Apparel_Product_64,Apparel,1419.29,1102.94
65,Sports_Product_65,Sports,3997.25,2958.54
66,Furniture_Product_66,Furniture,30776.34,20873.45
67,Sports_Product_67,Sports,6270.87,4072.72
68,Furniture_Product_68,Furniture,8072.27,4501.23
69,Sports_Product_69,Sports,840.89,598.42
70,Apparel_Product_70,Apparel,3191.11,2481.57
71,Furniture_Product_71,Furniture,31281.78,18170.03
72,Groceries_Product_72,Groceries,453.78,346.35
73,Electronics_Product_73,Electronics,50672.46,29905.36
74,Apparel_Product_74,Apparel,3842.55,2320.42
75,Groceries_Product_75,Groceries,1100.67,636.08
76,Electronics_Product_76,Electronics,12970.07,10124.33
77,Groceries_Product_77,Groceries,600.64,450.7
78,Apparel_Product_78,Apparel,3828.62,2225.85
79,Electronics_Product_79,Electronics,14225.32,9802.87
80,Sports_Product_80,Sports,4743.36,3710.66
81,Furniture_Product_81,Furniture,13744.91,10134.9
82,Apparel_Product_82,Apparel,2766.26,2057.57
83,Apparel_Product_83,Apparel,2267.34,1412.85
84,Sports_Product_84,Sports,7711.19,5528.67
85,Apparel_Product_85,Apparel,3294.35,2303.82
86,Apparel_Product_86,Apparel,1203.86,751.1
87,Sports_Product_87,Sports,7136.41,5243.6
88,Furniture_Product_88,Furniture,36647.84,23269.27
89,Sports_Product_89,Sports,577.13,420.73
90,Electronics_Product_90,Electronics,22119.39,14574.71
91,Apparel_Product_91,Apparel,1765.83,1121.29
92,Apparel_Product_92,Apparel,4292.81,2456.55
93,Electronics_Product_93,Electronics,56258.1,33554.2
94,Furniture_Product_94,Furniture,37252.28,21064.38
95,Electronics_Product_95,Electronics,15919.38,11581.88
96,Sports_Product_96,Sports,3850.36,2600.45
97,Furniture_Product_97,Furniture,1693.52,956.88
98,Electronics_Product_98,Electronics,45568.27,33650.66
99,Furniture_Product_99,Furniture,8321.91,5189.27
100,Apparel_Product_100,Apparel,3858.13,2175.6
101,Apparel_Product_101,Apparel,1298.5,929.57
102,Furniture_Product_102,Furniture,29109.14,22240.35
103,Furniture_Product_103,Furniture,35979.17,27966.39
104,Electronics_Product_104,Electronics,27523.37,20158.89
105,Apparel_Product_105,Apparel,1907.91,1254.43
106,Electronics_Product_106,Electronics,49704.69,29491.57
107,Sports_Product_107,Sports,4485.91,2790.17
108,Furniture_Product_108,Furniture,13047.77,9120.66
109,Electronics_Product_109,Electronics,11535.52,6680.75
110,Sports_Product_110,Sports,3163.49,1775.71
111,Groceries_Product_111,Groceries,1112.85,795.32
112,Furniture_Product_112,Furniture,5575.35,4283.29
113,Apparel_Product_113,Apparel,2231.03,1539.73
114,Groceries_Product_114,Groceries,65.68,49.7
115,Sports_Product_115,Sports,6349.91,3649.19
116,Sports_Product_116,Sports,3979.86,2307.03
117,Sports_Product_117,Sports,4888.09,2964.96
118,Apparel_Product_118,Apparel,3095.78,2274.52
119,Groceries_Product_119,Groceries,944.57,723.41
120,Groceries_Product_120,Groceries,199.73,118.47
121,Apparel_Product_121,Apparel,3816.36,2634.49
122,Sports_Product_122,Sports,6640.55,5285.16
123,Electronics_Product_123,Electronics,3843.15,2865.12
124,Furniture_Product_124,Furniture,3438.46,1936.51
125,Groceries_Product_125,Groceries,809.2,489.21
126,Sports_Product_126,Sports,5104.78,3130.33
127,Furniture_Product_127,Furniture,15329.54,11587.42
128,Electronics_Product_128,Electronics,6433.51,4979.35
129,Electronics_Product_129,Electronics,21034.41,12668.29
130,Electronics_Product_130,Electronics,50406.28,32239.03
131,Sports_Product_131,Sports,6806.82,4120.23
132,Sports_Product_132,Sports,4823.54,3571.69
133,Sports_Product_133,Sports,3943.43,2467.88
134,Apparel_Product_134,Apparel,378.75,272.62
135,Furniture_Product_135,Furniture,27828.86,19004.13
136,Furniture_Product_136,Furniture,37578.69,23597.56
137,Apparel_Product_137,Apparel,3385.13,2683.69
138,Electronics_Product_138,Electronics,55829.91,42498.6
139,Groceries_Product_139,Groceries,218.72,153.8
140,Apparel_Product_140,Apparel,506.99,366.72
141,Apparel_Product_141,Apparel,1966.93,1352.59
142,Furniture_Product_142,Furniture,33595.29,25319.69
143,Sports_Product_143,Sports,3786.33,2933.71
144,Furniture_Product_144,Furniture,5576.16,3561.63
145,Sports_Product_145,Sports,4487.46,3071.42
146,Sports_Product_146,Sports,1025.81,665.56
147,Groceries_Product_147,Groceries,856.68,477.42
148,Groceries_Product_148,Groceries,657.82,389.46
149,Sports_Product_149,Sports,5825.86,3343.65
150,Apparel_Product_150,Apparel,1533.01,963.13
151,Furniture_Product_151,Furniture,35618.0,27909.41
152,Apparel_Product_152,Apparel,2084.2,1311.27
153,Apparel_Product_153,Apparel,729.46,458.62
154,Furniture_Product_154,Furniture,27581.37,18124.12
155,Groceries_Product_155,Groceries,693.66,536.48
156,Sports_Product_156,Sports,560.44,440.39
157,Sports_Product_157,Sports,3734.76,2408.02
158,Furniture_Product_158,Furniture,34002.17,22815.63
159,Electronics_Product_159,Electronics,19891.16,13789.76
160,Apparel_Product_160,Apparel,2929.21,2217.77
161,Apparel_Product_161,Apparel,4898.27,3876.67
162,Groceries_Product_162,Groceries,389.15,234.55
163,Apparel_Product_163,Apparel,4749.75,3087.59
164,Apparel_Product_164,Apparel,2435.69,1814.7
165,Electronics_Product_165,Electronics,37004.67,26453.77
166,Electronics_Product_166,Electronics,26997.07,16903.49
167,Electronics_Product_167,Electronics,12508.63,8827.19
168,Sports_Product_168,Sports,2804.12,1925.35
169,Electronics_Product_169,Electronics,11293.08,6693.79
170,Electronics_Product_170,Electronics,48238.24,35264.96
171,Furniture_Product_171,Furniture,14610.98,10976.37
172,Electronics_Product_172,Electronics,40379.68,28290.5
173,Furniture_Product_173,Furniture,4457.09,2713.25
174,Sports_Product_174,Sports,6762.1,5366.89
175,Electronics_Product_175,Electronics,15425.56,11832.98
176,Groceries_Product_176,Groceries,102.1,79.81
177,Apparel_Product_177,Apparel,485.14,336.44
178,Furniture_Product_178,Furniture,34531.27,25304.15
179,Electronics_Product_179,Electronics,47667.57,29868.89
180,Furniture_Product_180,Furniture,24151.56,15684.53
181,Furniture_Product_181,Furniture,3882.6,2655.08
182,Groceries_Product_182,Groceries,667.88,506.31
183,Electronics_Product_183,Electronics,14863.35,9354.82
184,Groceries_Product_184,Groceries,1235.09,966.58
185,Groceries_Product_185,Groceries,702.59,445.7
186,Groceries_Product_186,Groceries,466.62,289.27
187,Furniture_Product_187,Furniture,27017.66,20740.34
188,Sports_Product_188,Sports,3815.8,2417.69
189,Groceries_Product_189,Groceries,1056.02,726.74
190,Sports_Product_190,Sports,4789.97,3598.98
191,Apparel_Product_191,Apparel,4580.77,3146.32
192,Electronics_Product_192,Electronics,17554.11,11239.35
193,Furniture_Product_193,Furniture,3682.2,2057.13
194,Sports_Product_194,Sports,3031.49,2275.78
195,Apparel_Product_195,Apparel,3315.07,2038.63
196,Groceries_Product_196,Groceries,1348.75,842.05
197,Apparel_Product_197,Apparel,2233.13,1362.51
198,Electronics_Product_198,Electronics,10184.24,6990.42
199,Furniture_Product_199,Furniture,16784.2,9887.22
200,Apparel_Product_200,Apparel,1994.23,1431.49
